50,,,,,,,,,,1 to 5,5 to 10,10 to 15,15 to 20,100,,,,,,,,1 to 5,5 to 10,10 to 15,15 to 20,,500,,,,,,,
Simulation,Clust Nr,ARI, AMI, Hom, Com, VM, CHS, DBS, SS,,,,,ARI, AMI, Hom, Com, VM, CHS, DBS, SS,,,,,,ARI, AMI, Hom, Com, VM, CHS, DBS, SS
29,4,-0.46,-0.41,-0.58,-0.31,-0.4,-355,0.58,-0.53,1,0,0,0,-0.24,-0.17,-0.02,-0.19,-0.17,1130.55,0.56,0,1,0,0,0,,,,,,,,,
30,6,0.88,0.83,0.89,0.77,0.83,16692.42,0.6,0.45,0,0,0,0,0.2,0.41,0.34,0.5,0.41,9994.34,7.35,0.11,0,0,0,0,,,,,,,,,
30,6,0.53,0.74,0.88,0.65,0.75,10340.65,0.56,0.48,0,0,0,0,0.53,0.74,0.88,0.65,0.75,10340.65,0.56,0.48,0,0,0,0,,,,,,,,,
30,6,0.35,0.08,0.01,0.13,0.08,6351.77,0.04,-0.04,0,1,0,0,-0.33,-0.34,-0.53,-0.14,-0.34,-346.31,6.79,-0.38,0,1,0,0,,,,,,,,,
31,12,0.81,0.78,0.73,0.84,0.78,10726.81,0.95,0.34,0,0,0,0,0.55,0.75,0.78,0.73,0.75,7333.74,0.91,0.36,0,0,0,0,,,,,,,,,
31,12,0.83,0.8,0.73,0.88,0.8,11862.89,2.06,0.26,0,0,0,0,0.83,0.8,0.73,0.88,0.8,11862.89,2.06,0.26,0,0,0,0,,,,,,,,,
31,12,-0.02,-0.01,0.01,-0.04,-0.01,-1136.08,-1.11,0.08,0,0,1,0,-0.27,-0.04,0.05,-0.15,-0.04,-4529.16,-1.15,0.1,0,0,1,0,,,,,,,,,
32,11,0.69,0.83,0.91,0.78,0.84,13115.46,0.57,0.49,0,0,0,0,0.67,0.79,0.83,0.76,0.79,14208.94,1.24,0.41,0,0,0,0,,,,,,,,,
32,11,0.76,0.77,0.79,0.76,0.78,12406.02,0.79,0.38,0,0,0,0,0.76,0.77,0.79,0.76,0.78,12406.02,0.79,0.38,0,0,0,0,,,,,,,,,
32,11,-0.06,0.06,0.11,0.01,0.06,709.44,-0.22,0.12,0,0,1,0,-0.09,0.02,0.04,0,0.02,1802.93,0.45,0.03,0,0,1,0,,,,,,,,,
33,5,0.42,0.46,0.69,0.34,0.46,1399.45,1.32,0.37,0,0,0,0,0.3,0.48,0.7,0.37,0.48,2540.35,1.11,0.39,0,0,0,0,,,,,,,,,
33,5,0.72,0.62,0.69,0.57,0.63,1855.58,0.82,0.27,0,0,0,0,0.72,0.62,0.69,0.57,0.63,1855.58,0.82,0.27,0,0,0,0,,,,,,,,,
33,5,-0.29,-0.17,0,-0.23,-0.17,-456.12,0.5,0.09,1,0,0,0,-0.42,-0.14,0.02,-0.21,-0.14,684.78,0.29,0.11,1,0,0,0,,,,,,,,,
34,9,0.65,0.72,0.68,0.78,0.73,14224.2,6.08,0.55,0,0,0,0,0.91,0.86,0.91,0.82,0.86,8098.69,0.9,0.44,0,0,0,0,,,,,,,,,
34,9,0.77,0.83,0.79,0.88,0.83,10357.59,0.83,0.39,0,0,0,0,0.77,0.83,0.79,0.88,0.83,10357.59,0.83,0.39,0,0,0,0,,,,,,,,,
34,9,-0.11,-0.1,-0.1,-0.1,-0.1,3866.62,5.25,0.16,0,1,0,0,0.14,0.03,0.13,-0.06,0.03,-2258.89,0.07,0.05,0,1,0,0,,,,,,,,,
35,13,0.65,0.79,0.71,0.89,0.79,30578.39,1.91,0.37,0,0,0,0,0.58,0.77,0.79,0.76,0.77,9279.07,1.04,0.33,0,0,0,0,,,,,,,,,
35,13,0.49,0.69,0.61,0.79,0.69,11185.24,1.4,0.18,0,0,0,0,0.49,0.69,0.61,0.79,0.69,11185.24,1.4,0.18,0,0,0,0,,,,,,,,,
35,13,0.17,0.1,0.11,0.1,0.1,19393.15,0.51,0.19,0,0,1,0,0.09,0.08,0.18,-0.04,0.08,-1906.17,-0.36,0.15,0,0,1,0,,,,,,,,,
36,19,0.52,0.76,0.76,0.77,0.76,7919.79,1.12,0.35,0,0,0,0,0.62,0.77,0.78,0.76,0.77,5101.78,1.13,0.26,0,0,0,0,,,,,,,,,
36,19,0.59,0.74,0.68,0.82,0.74,10779.64,1.57,0.17,0,0,0,0,0.59,0.74,0.68,0.82,0.74,10779.64,1.57,0.17,0,0,0,0,,,,,,,,,
36,19,-0.08,0.02,0.07,-0.05,0.02,-2859.85,-0.45,0.18,0,0,0,1,0.03,0.02,0.1,-0.06,0.02,-5677.86,-0.44,0.08,0,0,0,1,,,,,,,,,
37,11,0.76,0.89,0.93,0.85,0.89,18250.9,0.7,0.44,0,0,0,0,0.88,0.86,0.87,0.86,0.86,15078.23,0.74,0.45,0,0,0,0,,,,,,,,,
37,11,0.75,0.81,0.74,0.9,0.81,14845.95,0.94,0.33,0,0,0,0,0.75,0.81,0.74,0.9,0.81,14845.95,0.94,0.33,0,0,0,0,,,,,,,,,
37,11,0.01,0.07,0.18,-0.05,0.07,3404.95,-0.24,0.11,0,0,1,0,0.13,0.05,0.13,-0.04,0.05,232.28,-0.21,0.12,0,0,1,0,,,,,,,,,
38,14,0.55,0.77,0.74,0.81,0.77,23496.83,0.91,0.35,0,0,0,0,0.5,0.75,0.66,0.88,0.75,151186.51,0.77,0.51,0,0,0,0,,,,,,,,,
38,14,0.77,0.83,0.77,0.89,0.83,16861.25,1.43,0.34,0,0,0,0,0.77,0.83,0.77,0.89,0.83,16861.25,1.43,0.34,0,0,0,0,,,,,,,,,
38,14,-0.22,-0.05,-0.03,-0.08,-0.05,6635.58,-0.52,0.01,0,0,1,0,-0.27,-0.08,-0.11,-0.02,-0.07,134325.26,-0.66,0.17,0,0,1,0,,,,,,,,,
39,3,0.52,0.65,0.94,0.5,0.65,8280.71,0.71,0.63,0,0,0,0,0.88,0.72,0.94,0.59,0.72,3898.61,0.97,0.56,0,0,0,0,,,,,,,,,
39,3,0.48,0.64,0.93,0.49,0.64,11765.86,0.51,0.63,0,0,0,0,0.48,0.64,0.93,0.49,0.65,11765.86,0.51,0.63,0,0,0,0,,,,,,,,,
39,3,0.04,0,0,0,0,-3485.15,0.2,-0.01,1,0,0,0,0.4,0.08,0.01,0.09,0.08,-7867.25,0.45,-0.07,1,0,0,0,,,,,,,,,
40,8,0.65,0.79,0.89,0.71,0.79,22468.48,0.69,0.51,0,0,0,0,0.83,0.85,0.8,0.89,0.85,44363.93,0.59,0.55,0,0,0,0,,,,,,,,,
40,8,0.55,0.7,0.71,0.69,0.7,24962.78,0.98,0.34,0,0,0,0,0.55,0.7,0.71,0.69,0.7,24962.78,0.98,0.34,0,0,0,0,,,,,,,,,
